intercepto,pendiente,sigma
-4.440105869362257,3.0836780548810783,0.40823606579975397
-4.2988764276484135,3.0514251285981278,0.4308394668645873
-4.488300231591215,3.115804083677888,0.43258613612604657
-4.038172886861202,2.96016023257934,0.3406597061368906
-4.756448124901986,3.178150454014606,0.4127637721290144
-4.649055966281771,3.150923720431151,0.35039210900802276
-4.256726237476905,3.0302870665457107,0.38987130701483735
-4.839570865884356,3.210492082438669,0.3663520641691364
-5.037859270773326,3.2627560096139554,0.3747076898618927
-5.032206013674015,3.275764802053201,0.35135076450227953
-4.481574024456054,3.079807696216742,0.35566638215106605
-4.640375036512011,3.1687946447718622,0.36260943754780584
-4.592746137545339,3.1442502430601307,0.38167764128171944
-4.961244177477393,3.2338241433476025,0.37041854230375526
-4.553181765117679,3.126810050462124,0.3943970879427681
-4.495254903276541,3.109636919591707,0.36263482919041456
-4.491884672844454,3.092346939756453,0.37535016167790464
-4.873965434209938,3.2252539215397857,0.38360547375364845
-4.41471422477727,3.0821217183399674,0.4008765146979845
-4.847964466148544,3.2090685371586205,0.3511142622613362
-4.6705435862794715,3.1632188924926212,0.3807502857414376
-4.674958084874823,3.149893004242367,0.35968334318629824
-4.68667833709093,3.1691230157044146,0.36100524173375276
-4.627039369887197,3.137126805438046,0.35567942129591623
-4.711092936503125,3.1571502700990806,0.3483333850484349
-3.985970936128213,2.9446729045438924,0.39937449750257453
-4.748929277218634,3.187327266559891,0.3330926940136683
-4.3487802194837615,3.056696390600932,0.3813510822964732
-4.842443526732751,3.211231440494775,0.4042291493965471
-4.687292426785729,3.169047466191701,0.4174470717005087
-4.54024124993845,3.120641014277377,0.3537470019765833
-4.6738232392843955,3.153133956278801,0.38954500728119984
-4.735123599104356,3.1744301545652953,0.39095600341036657
-4.3651730065083685,3.0729900808733004,0.3620733174612742
-4.6425599150743775,3.128045633222952,0.3960557688695926
-4.56961562788384,3.1101628129371224,0.39160277942734206
-4.510727252295947,3.099358095071932,0.3765400738132346
-4.624320763183944,3.1354436418043985,0.37292938529381253
-4.56464655664723,3.130134424037049,0.3572863607607524
-4.402390294014147,3.0724363003421566,0.3964648332173728
-4.978724119701597,3.2487244463147493,0.35960642039271234
-5.302794868144761,3.34768421081091,0.3895295158219328
-4.534784200210536,3.12318367504495,0.3981775718337864
-4.703358016122444,3.172264746629945,0.38949084656371824
-4.713226340134957,3.16572881265331,0.34949186960676076
-4.439954477517237,3.0912837837121945,0.3867687141761943
-4.459724225978284,3.1107877382178204,0.3959741730807287
-4.743663784740516,3.16211027293481,0.3494525815802768
-4.404776926016787,3.0736979534252264,0.3617297855922262
-4.404776926016787,3.0736979534252264,0.3617297855922262
-4.544532948199526,3.1124455003091853,0.41389887743812703
-5.20609689349285,3.3148474793902984,0.3707837459733026
-5.065113770711797,3.270696587741074,0.37459138515743967
-5.029849500041248,3.2750847752789887,0.3357021508645735
-4.908050893877141,3.229268043019603,0.36588341239137945
-4.342041567670544,3.0437851270955556,0.39375214919353496
-4.85518717873308,3.2242748106599852,0.34762622993903514
-4.571179479995774,3.1352208188905255,0.387229801341993
-4.571179479995774,3.1352208188905255,0.387229801341993
-4.7690811156263795,3.1966305588606967,0.3845806118207572
-4.838703622927905,3.200933272934892,0.4017212460972888
-4.75337189863605,3.174962624140131,0.3724576361174022
-4.396342707592781,3.067576742703216,0.366880746334476
-4.781857102567195,3.1969651688895886,0.36605176966160724
-4.879446434983496,3.2304569483518843,0.3856908097596637
-4.100731360735822,2.99383622715077,0.36550364069671676
-4.92354741721358,3.2205265400679615,0.3907696262767133
-4.760106363465875,3.166755852502921,0.4293078311596997
-4.627780352700884,3.1342011095328535,0.3932406528282977
-4.962487428149195,3.2588768345585644,0.3862895636636472
-4.951523199332844,3.2555360761410905,0.3862394923496733
-4.457556760506147,3.085158271433605,0.3593447804511935
-4.501047879635343,3.1146592891645546,0.3774403710324674
-4.851358278985141,3.2037303258321566,0.36994118775780693
-4.901572592711264,3.23023696123403,0.409268765057113
-4.524682179400897,3.1196846052075404,0.3738070524445758
-5.030659755414536,3.2689033340523785,0.3627737463259105
-4.910259769705256,3.2272289167353456,0.36746705677575164
-4.315342095569057,3.0649183188429836,0.37988240126746736
-4.834896849639558,3.2057308791280503,0.3655972379458838
-4.42432006642981,3.0842011730581023,0.36139626907581074
-4.640382524571451,3.157123384706248,0.3793407491788787
-5.017149141163873,3.265338054613397,0.3567079172189153
-4.681314220928121,3.1505213239616827,0.37894824075695244
-4.7949198395613974,3.199294578804504,0.3823398660868062
-4.6667529070578695,3.1604895512393036,0.39315384355222455
-4.703653971448773,3.166419414075122,0.4026205074864014
-4.686139405818616,3.168926965964573,0.35700930380161927
-4.686139405818616,3.168926965964573,0.35700930380161927
-4.600978135474017,3.1311121152597017,0.3524795167083659
-4.274590314290668,3.0391362398744763,0.4099069370002323
-4.593199747262578,3.127331100573854,0.3990739832364351
-4.535165777850571,3.1211594961580715,0.3500742733839038
-4.568278107959775,3.1319530084473337,0.3534801901255415
-4.845393346644263,3.216608290688086,0.41139111322421296
-4.828503231952318,3.219111558079649,0.403422656367429
-4.823304391148594,3.2048905553231988,0.37625932430959824
-4.461722682133743,3.0939579656496368,0.348491471193218
-4.690606683109779,3.158329195228221,0.3810548235711145
-4.747040316223578,3.186106365714751,0.38304654490199713
-4.715415183411507,3.1650437547092243,0.3721701649453803
-4.744296875844703,3.1863578652152116,0.3827927125909318
-4.931425840642183,3.2365444619747623,0.371504088566326
-4.730465605849041,3.175495054850248,0.3412662167796482
-4.531487429289486,3.10572426972553,0.416830841070318
-4.343630072622573,3.0581931721006317,0.37429189108065003
-4.942566979806027,3.2377830225574042,0.3506476051878542
-4.7938731697062265,3.1956231873227146,0.38459900328355795
-4.632640719827407,3.150199529335854,0.37787506111344155
-4.692810951226979,3.171282158752169,0.3570027650084714
-4.593806736291864,3.1238435605965456,0.36920705620708205
-4.574796827948516,3.1350275299624446,0.39555697227917047
-4.862390803598088,3.2208694384379837,0.3807406956649456
-4.919766795894955,3.24264774509041,0.3611643633916499
-4.426004498617987,3.0721014249752505,0.36591679445961955
-4.647736346773768,3.161954425674165,0.3598333339050123
-4.6404896696420135,3.148516680884501,0.40661727478939685
-4.2613747726486855,3.02780342807571,0.3884367804594861
-5.028805467528391,3.2702619107610875,0.35674241534146883
-4.751328771773918,3.184169585446009,0.359198107042886
-4.575960209496144,3.119287283642558,0.38561316834298004
-4.317292809097948,3.047243587528196,0.36605344055925837
-4.639338151064342,3.1448057327280354,0.35724254421124185
-4.637036310203589,3.1443679104941995,0.38842149559411215
-4.7031772293211604,3.1758155101334173,0.38993971265364213
-4.199722848201521,3.0213043241430313,0.3544821674676664
-4.682752359971636,3.1653491201827513,0.3441076236567313
-4.722490348089446,3.1818478925633014,0.36463234226985136
-4.511631044516052,3.100725376223259,0.37192278462055534
-4.641853966009643,3.1519850428346796,0.35782847128887363
